account_id,onboarding_date,occupation_category,risk_rating,account_type,is_mule
ACC000000,2022-08-24,salaried,low,current,0
ACC000001,2021-11-29,self_employed,low,business,0
ACC000002,2024-01-15,salaried,low,business,0
ACC000003,2023-10-13,salaried,low,savings,0
ACC000004,2023-08-07,salaried,low,savings,0
ACC000005,2022-11-20,business,low,business,0
ACC000006,2022-07-28,self_employed,medium,business,0
ACC000007,2026-05-04,business,low,current,0
ACC000008,2022-06-10,business,low,savings,0
ACC000009,2025-04-15,self_employed,low,current,0
ACC000010,2021-12-20,student,low,current,0
ACC000011,2021-12-14,salaried,low,savings,0
ACC000012,2022-07-01,student,medium,business,0
ACC000013,2023-07-24,student,medium,business,0
ACC000014,2023-09-05,retired,low,current,0
ACC000015,2025-12-31,salaried,low,business,0
ACC000016,2021-12-04,business,medium,current,0
ACC000017,2026-06-22,business,low,savings,0
ACC000018,2023-05-23,salaried,low,current,0
ACC000019,2026-05-03,salaried,medium,savings,0
ACC000020,2025-04-08,retired,low,business,0
ACC000021,2023-07-29,student,low,current,0
ACC000022,2025-07-09,self_employed,low,business,0
ACC000023,2024-01-25,salaried,low,savings,1
ACC000024,2021-10-03,business,medium,savings,0
ACC000025,2023-01-22,retired,low,business,0
ACC000026,2025-04-18,business,low,current,0
ACC000027,2024-08-05,salaried,low,savings,0
ACC000028,2024-01-24,student,low,savings,0
ACC000029,2023-01-09,self_employed,medium,business,1
ACC000030,2023-07-13,student,low,current,0
ACC000031,2024-07-24,retired,medium,business,0
ACC000032,2022-07-27,retired,low,savings,0
ACC000033,2022-06-28,self_employed,medium,business,0
ACC000034,2024-12-06,student,medium,current,0
ACC000035,2022-07-10,business,low,savings,0
ACC000036,2024-10-02,self_employed,low,savings,0
ACC000037,2024-08-16,salaried,medium,savings,0
ACC000038,2023-12-13,self_employed,medium,current,0
ACC000039,2022-01-25,business,low,current,0
ACC000040,2025-08-10,business,high,business,0
ACC000041,2026-04-06,student,high,savings,0
ACC000042,2022-10-05,salaried,low,business,0
ACC000043,2024-12-02,student,medium,current,0
ACC000044,2022-05-15,salaried,low,savings,0
ACC000045,2026-05-25,retired,low,business,0
ACC000046,2024-03-11,student,high,savings,0
ACC000047,2024-10-10,business,medium,business,0
ACC000048,2026-08-11,student,medium,business,0
ACC000049,2023-05-03,business,low,current,0
ACC000050,2022-04-17,self_employed,low,business,0
ACC000051,2022-02-02,salaried,low,current,0
ACC000052,2023-08-22,salaried,low,current,0
ACC000053,2024-02-29,student,low,savings,0
ACC000054,2022-05-18,business,medium,savings,0
ACC000055,2023-09-06,retired,medium,business,0
ACC000056,2022-07-23,self_employed,low,current,0
ACC000057,2024-12-07,business,low,business,0
ACC000058,2024-01-24,business,low,savings,0
ACC000059,2025-07-22,business,medium,business,0
ACC000060,2024-10-20,self_employed,medium,current,0
ACC000061,2023-01-31,student,low,business,0
ACC000062,2024-11-06,retired,low,savings,0
ACC000063,2024-09-20,salaried,low,business,0
ACC000064,2023-06-25,business,low,savings,0
ACC000065,2023-12-21,salaried,low,business,1
ACC000066,2022-04-22,salaried,low,savings,0
ACC000067,2023-02-26,student,low,savings,0
ACC000068,2026-03-30,student,low,savings,0
ACC000069,2023-10-13,business,low,business,0
ACC000070,2023-02-02,business,low,current,0
ACC000071,2025-08-19,retired,low,savings,0
ACC000072,2024-12-04,retired,low,current,0
ACC000073,2023-12-30,retired,medium,savings,0
ACC000074,2026-06-09,salaried,low,business,0
ACC000075,2023-07-27,student,medium,savings,0
ACC000076,2024-06-16,self_employed,low,business,0
ACC000077,2022-03-05,retired,low,savings,0
ACC000078,2023-08-25,student,low,savings,0
ACC000079,2021-12-21,retired,medium,business,1
ACC000080,2024-05-20,salaried,low,business,0
ACC000081,2025-02-10,salaried,high,savings,0
ACC000082,2023-12-23,self_employed,low,current,0
ACC000083,2022-04-06,self_employed,medium,savings,0
ACC000084,2023-06-30,self_employed,low,current,1
ACC000085,2026-07-11,student,medium,current,0
ACC000086,2024-05-17,student,low,business,0
ACC000087,2023-07-05,business,low,current,0
ACC000088,2025-12-12,self_employed,low,savings,0
ACC000089,2025-01-24,salaried,low,business,0
ACC000090,2025-08-08,salaried,medium,savings,0
ACC000091,2022-11-30,salaried,low,business,0
ACC000092,2023-12-14,business,low,business,0
ACC000093,2022-11-20,salaried,medium,savings,0
ACC000094,2023-10-19,business,low,savings,0
ACC000095,2026-06-23,retired,low,business,0
ACC000096,2026-04-14,self_employed,low,savings,0
ACC000097,2023-12-08,business,low,business,0
ACC000098,2026-09-03,business,low,current,0
ACC000099,2025-05-06,student,low,business,0
ACC000100,2026-08-30,student,low,current,0
ACC000101,2025-02-04,self_employed,low,current,0
ACC000102,2024-10-11,retired,low,savings,0
ACC000103,2023-07-26,salaried,low,business,0
ACC000104,2022-11-16,salaried,low,savings,0
ACC000105,2026-01-13,business,low,current,0
ACC000106,2025-11-24,salaried,medium,current,1
ACC000107,2022-06-22,student,low,business,0
ACC000108,2022-02-06,student,low,business,0
ACC000109,2022-08-19,business,low,business,0
ACC000110,2022-12-31,student,medium,savings,0
ACC000111,2023-01-23,self_employed,low,savings,0
ACC000112,2025-04-16,business,low,current,0
ACC000113,2022-03-29,business,low,current,0
ACC000114,2024-12-21,self_employed,low,current,0
ACC000115,2024-12-11,business,low,savings,0
ACC000116,2025-09-06,salaried,low,current,0
ACC000117,2026-03-14,salaried,low,savings,0
ACC000118,2023-11-03,student,low,current,0
ACC000119,2026-05-28,business,medium,business,0
ACC000120,2021-10-18,salaried,low,business,0
ACC000121,2022-09-03,self_employed,low,current,0
ACC000122,2026-04-08,business,low,current,0
ACC000123,2023-12-20,self_employed,low,current,0
ACC000124,2024-08-04,salaried,medium,savings,0
ACC000125,2022-08-25,self_employed,low,current,0
ACC000126,2024-03-12,business,medium,current,0
ACC000127,2025-05-25,business,medium,savings,0
ACC000128,2023-01-17,self_employed,high,savings,0
ACC000129,2025-07-23,retired,low,business,0
ACC000130,2021-09-23,student,medium,current,0
ACC000131,2023-12-10,self_employed,low,business,0
ACC000132,2025-12-16,salaried,low,savings,0
ACC000133,2023-03-22,retired,low,current,0
ACC000134,2026-01-07,student,low,savings,0
ACC000135,2022-08-09,self_employed,low,savings,0
ACC000136,2024-03-28,retired,low,savings,0
ACC000137,2026-01-07,student,low,business,0
ACC000138,2023-05-23,retired,low,business,0
ACC000139,2022-12-31,student,medium,savings,0
ACC000140,2024-11-17,student,low,current,0
ACC000141,2023-01-27,salaried,low,current,0
ACC000142,2026-04-15,student,medium,current,0
ACC000143,2026-03-18,retired,low,business,0
ACC000144,2021-09-14,salaried,low,business,0
ACC000145,2024-06-16,self_employed,low,business,0
ACC000146,2025-11-09,retired,low,business,0
ACC000147,2021-11-12,self_employed,low,savings,0
ACC000148,2022-08-26,student,low,business,0
ACC000149,2024-10-14,salaried,medium,current,0
ACC000150,2024-04-25,business,low,current,0
ACC000151,2023-09-26,student,low,current,0
ACC000152,2022-03-11,business,low,current,0
ACC000153,2023-10-01,retired,low,savings,0
ACC000154,2026-07-11,business,low,current,0
ACC000155,2022-05-15,business,medium,current,0
ACC000156,2022-06-06,student,low,business,0
ACC000157,2025-10-31,business,low,current,1
ACC000158,2022-04-16,retired,low,savings,0
ACC000159,2026-03-26,business,low,business,0
ACC000160,2022-10-08,self_employed,low,current,0
ACC000161,2022-10-16,business,low,business,0
ACC000162,2025-09-28,student,low,savings,0
ACC000163,2026-05-18,student,low,savings,0
ACC000164,2023-02-08,self_employed,low,savings,0
ACC000165,2023-12-15,retired,low,savings,0
ACC000166,2026-03-10,retired,low,business,0
ACC000167,2025-04-19,business,low,business,0
ACC000168,2023-07-03,retired,low,savings,1
ACC000169,2026-04-15,self_employed,low,savings,0
ACC000170,2023-05-30,salaried,medium,savings,0
ACC000171,2024-05-08,self_employed,medium,business,0
ACC000172,2025-02-03,business,low,business,0
ACC000173,2024-11-16,self_employed,medium,savings,0
ACC000174,2025-06-05,retired,low,current,0
ACC000175,2026-02-07,business,high,business,0
ACC000176,2025-07-16,student,high,current,0
ACC000177,2022-09-23,business,medium,business,0
ACC000178,2023-10-23,retired,medium,business,0
ACC000179,2023-08-12,retired,medium,business,1
ACC000180,2022-03-30,retired,low,savings,0
ACC000181,2024-07-29,student,medium,business,0
ACC000182,2021-11-17,retired,low,current,0
ACC000183,2026-05-30,retired,low,current,0
ACC000184,2023-08-28,self_employed,low,current,0
ACC000185,2023-07-29,business,low,savings,0
ACC000186,2021-10-05,self_employed,low,savings,0
ACC000187,2022-04-21,self_employed,low,current,0
ACC000188,2022-03-14,student,low,current,0
ACC000189,2023-08-25,salaried,low,current,0
ACC000190,2022-04-10,retired,medium,business,0
ACC000191,2021-12-19,salaried,medium,business,0
ACC000192,2024-07-05,retired,low,current,0
ACC000193,2022-04-21,student,medium,current,0
ACC000194,2026-01-27,business,medium,business,0
ACC000195,2023-09-22,business,medium,current,0
ACC000196,2024-01-26,self_employed,low,current,0
ACC000197,2025-10-30,salaried,low,business,0
ACC000198,2023-07-10,retired,medium,current,0
ACC000199,2026-04-15,self_employed,high,business,1
ACC000200,2022-10-29,salaried,medium,business,0
ACC000201,2026-07-23,business,low,savings,0
ACC000202,2026-08-08,retired,low,current,0
ACC000203,2025-09-20,self_employed,low,current,0
ACC000204,2023-10-07,student,low,current,0
ACC000205,2025-09-21,student,medium,current,0
ACC000206,2025-02-28,student,medium,current,0
ACC000207,2023-04-27,student,medium,current,0
ACC000208,2022-07-03,salaried,medium,savings,0
ACC000209,2022-07-11,student,low,savings,0
ACC000210,2025-05-14,salaried,medium,savings,0
ACC000211,2024-09-17,self_employed,medium,business,0
ACC000212,2025-04-21,self_employed,low,current,0
ACC000213,2025-03-13,salaried,low,savings,0
ACC000214,2025-09-02,retired,low,current,0
ACC000215,2022-02-28,self_employed,low,business,0
ACC000216,2022-07-15,salaried,medium,savings,0
ACC000217,2022-03-20,student,low,savings,0
ACC000218,2025-02-14,student,low,current,0
ACC000219,2024-08-02,retired,medium,savings,0
ACC000220,2022-08-18,salaried,low,business,0
ACC000221,2023-10-25,self_employed,low,current,0
ACC000222,2023-05-01,business,medium,business,0
ACC000223,2023-04-26,salaried,low,current,0
ACC000224,2026-04-06,student,low,business,0
ACC000225,2025-07-07,student,low,current,0
ACC000226,2022-11-22,retired,low,current,0
ACC000227,2025-04-15,retired,medium,current,1
ACC000228,2023-04-06,self_employed,medium,business,1
ACC000229,2024-01-26,student,low,business,0
ACC000230,2025-08-20,retired,low,business,0
ACC000231,2023-10-29,business,low,savings,0
ACC000232,2022-05-05,salaried,low,current,0
ACC000233,2025-06-20,self_employed,medium,business,0
ACC000234,2026-05-19,business,low,current,0
ACC000235,2022-07-14,salaried,low,current,0
ACC000236,2022-02-17,self_employed,low,current,0
ACC000237,2026-04-19,student,low,business,0
ACC000238,2021-10-28,student,low,business,0
ACC000239,2022-06-29,self_employed,low,business,0
ACC000240,2023-09-17,retired,low,savings,1
ACC000241,2023-02-11,retired,low,current,0
ACC000242,2025-02-26,retired,medium,savings,0
ACC000243,2025-10-30,student,low,business,0
ACC000244,2025-10-17,self_employed,low,business,0
ACC000245,2023-07-09,student,low,business,0
ACC000246,2025-02-09,student,low,business,0
ACC000247,2022-03-14,business,low,business,0
ACC000248,2023-02-06,retired,low,current,1
ACC000249,2024-12-03,self_employed,low,savings,0
ACC000250,2021-09-19,student,low,business,0
ACC000251,2025-01-07,self_employed,low,business,0
ACC000252,2023-12-15,retired,low,business,0
ACC000253,2025-07-27,business,low,savings,0
ACC000254,2024-02-16,self_employed,low,current,0
ACC000255,2025-04-19,self_employed,low,business,0
ACC000256,2026-06-05,business,low,savings,0
ACC000257,2025-11-03,salaried,low,business,0
ACC000258,2023-01-06,self_employed,low,current,0
ACC000259,2023-04-25,salaried,medium,business,0
ACC000260,2024-03-22,student,low,current,0
ACC000261,2023-07-21,student,low,savings,0
ACC000262,2022-03-13,student,medium,current,0
ACC000263,2026-08-17,salaried,medium,current,0
ACC000264,2026-04-24,retired,low,business,0
ACC000265,2022-03-21,salaried,low,business,0
ACC000266,2024-05-14,student,low,savings,0
ACC000267,2022-03-09,salaried,low,current,0
ACC000268,2022-02-15,business,low,business,0
ACC000269,2026-09-01,self_employed,medium,current,0
ACC000270,2025-10-03,retired,medium,current,0
ACC000271,2025-12-23,business,high,current,0
ACC000272,2026-03-21,business,low,business,0
ACC000273,2023-01-15,salaried,medium,savings,0
ACC000274,2022-03-08,self_employed,low,savings,0
ACC000275,2026-01-07,self_employed,low,business,0
ACC000276,2022-05-19,salaried,low,current,0
ACC000277,2023-04-13,retired,low,current,0
ACC000278,2022-04-13,student,low,current,0
ACC000279,2022-04-12,student,medium,current,0
ACC000280,2023-09-13,salaried,low,current,0
ACC000281,2025-02-18,business,low,savings,0
ACC000282,2022-09-20,retired,low,savings,0
ACC000283,2026-07-18,self_employed,medium,savings,0
ACC000284,2023-10-17,salaried,low,current,0
ACC000285,2026-08-16,business,medium,business,0
ACC000286,2022-01-14,student,low,current,0
ACC000287,2022-05-25,student,low,current,0
ACC000288,2025-04-07,business,low,current,0
ACC000289,2026-08-31,salaried,low,current,0
ACC000290,2026-07-05,student,low,savings,0
ACC000291,2026-02-23,salaried,low,business,0
ACC000292,2024-05-22,business,low,savings,0
ACC000293,2023-12-02,student,low,savings,0
ACC000294,2023-06-09,retired,low,current,0
ACC000295,2024-05-16,student,low,business,0
ACC000296,2023-09-24,retired,low,current,1
ACC000297,2023-12-17,salaried,low,current,0
ACC000298,2025-01-24,student,low,savings,0
ACC000299,2022-10-24,self_employed,low,business,0
ACC000300,2024-04-02,retired,low,current,0
ACC000301,2025-08-03,business,low,savings,0
ACC000302,2024-05-22,student,low,savings,0
ACC000303,2022-04-26,retired,medium,savings,0
ACC000304,2021-10-11,business,low,savings,0
ACC000305,2025-08-06,self_employed,low,business,0
ACC000306,2026-06-28,retired,low,savings,0
ACC000307,2022-07-20,self_employed,low,savings,0
ACC000308,2022-04-28,student,low,business,0
ACC000309,2026-04-10,retired,low,business,0
ACC000310,2023-07-07,business,medium,business,0
ACC000311,2026-01-01,self_employed,low,savings,0
ACC000312,2023-12-15,business,low,savings,0
ACC000313,2022-10-29,salaried,low,savings,0
ACC000314,2024-09-01,self_employed,low,business,0
ACC000315,2022-04-14,student,low,current,0
ACC000316,2023-10-11,retired,medium,current,0
ACC000317,2024-11-04,self_employed,low,savings,0
ACC000318,2024-02-15,retired,low,business,0
ACC000319,2023-01-16,business,medium,savings,0
ACC000320,2025-06-05,salaried,low,current,0
ACC000321,2026-04-27,student,medium,business,0
ACC000322,2024-04-09,student,medium,current,0
ACC000323,2026-03-14,student,medium,business,0
ACC000324,2021-10-07,retired,medium,current,0
ACC000325,2026-06-02,business,low,current,0
ACC000326,2024-03-31,business,medium,current,0
ACC000327,2022-07-31,retired,medium,savings,0
ACC000328,2022-11-04,self_employed,low,savings,0
ACC000329,2023-12-13,retired,low,business,0
ACC000330,2022-09-06,retired,medium,current,0
ACC000331,2022-08-11,retired,high,business,0
ACC000332,2026-05-28,self_employed,low,savings,0
ACC000333,2023-01-08,self_employed,low,business,1
ACC000334,2024-01-07,student,medium,current,0
ACC000335,2024-02-05,salaried,low,current,0
ACC000336,2023-06-29,salaried,medium,current,0
ACC000337,2024-08-13,self_employed,low,current,0
ACC000338,2023-06-07,student,low,current,0
ACC000339,2023-12-12,salaried,medium,business,0
ACC000340,2025-12-31,business,low,current,0
ACC000341,2025-11-08,retired,medium,savings,0
ACC000342,2023-11-02,business,low,business,0
ACC000343,2022-02-17,student,high,business,0
ACC000344,2022-06-26,salaried,low,savings,0
ACC000345,2025-04-21,salaried,low,business,0
ACC000346,2024-01-20,student,medium,savings,0
ACC000347,2022-01-27,student,medium,current,0
ACC000348,2021-09-24,student,low,savings,0
ACC000349,2024-07-15,self_employed,low,business,0
ACC000350,2022-10-24,self_employed,low,savings,0
ACC000351,2023-12-05,business,medium,business,0
ACC000352,2023-01-28,self_employed,low,business,0
ACC000353,2025-06-16,self_employed,low,business,0
ACC000354,2026-05-24,student,low,business,0
ACC000355,2025-05-03,salaried,medium,current,0
ACC000356,2026-06-21,student,low,savings,0
ACC000357,2021-10-13,salaried,low,current,0
ACC000358,2022-08-26,business,low,current,0
ACC000359,2022-05-04,student,low,current,0
ACC000360,2022-12-20,self_employed,high,current,0
ACC000361,2026-05-05,salaried,low,business,0
ACC000362,2022-01-02,student,low,business,0
ACC000363,2024-11-03,student,low,business,0
ACC000364,2026-08-27,retired,low,business,0
ACC000365,2026-05-26,salaried,medium,business,0
