event_id,account_id,device_id,timestamp,ip_address,mfa_result,geo_city,geo_country
AUTH0015682,ACC004524,DEV002426,2026-09-14 01:40:03,96.214.99.21,fail,New Amberland,KP
AUTH0010166,ACC002940,DEV004357,2026-09-14 01:40:11,203.110.228.111,fail,Port Katherineview,NA
AUTH0016714,ACC004724,DEV004254,2026-09-14 01:40:19,142.168.43.219,challenge,Lake Travis,LT
AUTH0015006,ACC000589,DEV007837,2026-09-14 01:40:33,164.86.67.227,fail,South Lisamouth,PA
AUTH0019942,ACC000964,DEV003452,2026-09-14 01:40:37,185.52.181.42,challenge,East Lesliestad,HT
AUTH0017950,ACC004439,DEV005363,2026-09-14 01:40:44,216.24.82.163,fail,Anthonyfort,SY
AUTH0006565,ACC002413,DEV001797,2026-09-14 01:40:50,112.85.171.15,fail,Angelshire,MU
AUTH0008519,ACC003543,DEV000769,2026-09-14 01:40:55,43.1.61.197,fail,Maryland,MD
AUTH0001001,ACC000240,DEV003894,2026-09-14 01:40:59,77.216.197.44,challenge,New Davidburgh,BH
AUTH0000521,ACC004628,DEV005728,2026-09-14 01:41:18,69.91.120.162,fail,Port Edwin,EC
AUTH0004795,ACC003580,DEV000643,2026-09-14 01:41:20,151.76.111.136,fail,South Ryan,SB
AUTH0001788,ACC000240,DEV004847,2026-09-14 01:41:22,30.143.121.217,fail,Lisaport,QA
AUTH0012288,ACC002131,DEV001955,2026-09-14 01:41:24,207.169.215.128,fail,Valentinetown,BW
AUTH0013536,ACC002570,DEV001998,2026-09-14 01:41:32,197.235.58.149,challenge,Maymouth,EG
AUTH0019151,ACC001001,DEV007689,2026-09-14 01:42:04,118.161.160.65,fail,West Adrienne,PH
AUTH0005437,ACC000079,DEV004588,2026-09-14 01:42:18,24.11.169.83,challenge,East Sandrabury,BJ
AUTH0006470,ACC001073,DEV004336,2026-09-14 01:42:29,44.225.49.169,challenge,Allenberg,AU
AUTH0015409,ACC001335,DEV001951,2026-09-14 01:42:30,108.144.21.220,challenge,West Laura,MG
AUTH0014689,ACC002215,DEV004418,2026-09-14 01:42:32,214.197.146.15,challenge,Mckinneymouth,TH
AUTH0002400,ACC000373,DEV005553,2026-09-14 01:42:37,132.0.79.17,fail,Whitestad,BG
AUTH0008954,ACC000065,DEV001622,2026-09-14 01:42:50,111.102.173.154,fail,New Joyland,AM
AUTH0012633,ACC003601,DEV001899,2026-09-14 01:43:06,105.177.171.18,challenge,Cynthiahaven,BA
AUTH0001768,ACC000079,DEV004708,2026-09-14 01:43:24,162.63.225.67,fail,North Rodney,LK
AUTH0009184,ACC003698,DEV006933,2026-09-14 01:43:32,21.188.62.170,fail,New David,CA
