change_id,account_id,old_beneficiary,new_beneficiary,change_ts,channel
BCH000000,ACC000400,BEN56177,BEN39021,2026-09-14 15:41:12,internet
BCH000001,ACC001309,BEN37307,BEN24568,2026-09-14 15:42:11,branch
BCH000002,ACC002229,BEN41754,BEN30863,2026-09-14 15:45:30,mobile
BCH000003,ACC004751,BEN15413,BEN11463,2026-09-14 15:45:34,branch
BCH000004,ACC001773,BEN72730,BEN16312,2026-09-14 15:44:40,mobile
BCH000005,ACC002118,BEN63733,BEN45632,2026-09-14 15:45:47,branch
BCH000006,ACC001798,BEN83870,BEN90982,2026-09-14 15:44:38,branch
BCH000007,ACC000349,BEN34398,BEN93808,2026-09-14 15:40:53,internet
BCH000008,ACC000863,BEN30244,BEN95320,2026-09-14 15:44:21,internet
BCH000009,ACC003198,BEN22483,BEN87665,2026-09-14 15:42:34,branch
BCH000010,ACC001628,BEN56803,BEN64461,2026-09-14 15:43:39,mobile
BCH000011,ACC002223,BEN21526,BEN97328,2026-09-14 15:42:07,internet
BCH000012,ACC000811,BEN17817,BEN40079,2026-09-14 15:41:02,mobile
BCH000013,ACC004940,BEN74961,BEN33414,2026-09-14 15:41:25,internet
BCH000014,ACC003020,BEN11998,BEN35238,2026-09-14 15:45:36,mobile
BCH000015,ACC004613,BEN19545,BEN57730,2026-09-14 15:43:46,internet
BCH000016,ACC002248,BEN10371,BEN25578,2026-09-14 15:41:12,internet
BCH000017,ACC002136,BEN25826,BEN94610,2026-09-14 15:41:23,mobile
BCH000018,ACC002588,BEN36744,BEN28332,2026-09-14 15:40:59,mobile
BCH000019,ACC002741,BEN80474,BEN60844,2026-09-14 15:45:11,branch
BCH000020,ACC001566,BEN11548,BEN24869,2026-09-14 15:45:32,mobile
BCH000021,ACC002573,BEN69183,BEN57619,2026-09-14 15:42:06,internet
BCH000022,ACC000118,BEN67852,BEN22749,2026-09-14 15:43:43,mobile
BCH000023,ACC002390,BEN62041,BEN42848,2026-09-14 15:43:33,mobile
BCH000024,ACC004698,BEN21722,BEN37980,2026-09-14 15:45:44,mobile
BCH000025,ACC003721,BEN41210,BEN66355,2026-09-14 15:40:33,mobile
BCH000026,ACC004114,BEN68714,BEN47651,2026-09-14 15:45:50,branch
BCH000027,ACC002644,BEN56812,BEN33325,2026-09-14 15:44:44,mobile
BCH000028,ACC000314,BEN93267,BEN46377,2026-09-14 15:41:37,branch
BCH000029,ACC004656,BEN35455,BEN49786,2026-09-14 15:45:50,branch
BCH000030,ACC003864,BEN10181,BEN98536,2026-09-14 15:44:13,internet
BCH000031,ACC004199,BEN69670,BEN65968,2026-09-14 15:44:06,branch
BCH000032,ACC003634,BEN71418,BEN23377,2026-09-14 15:40:19,branch
BCH000033,ACC004010,BEN47105,BEN67722,2026-09-14 15:41:55,mobile
BCH000034,ACC001908,BEN61405,BEN71350,2026-09-14 15:43:25,internet
BCH000035,ACC003192,BEN53558,BEN20441,2026-09-14 15:46:01,mobile
BCH000036,ACC001439,BEN75934,BEN44601,2026-09-14 15:45:54,branch
BCH000037,ACC000316,BEN79865,BEN53697,2026-09-14 15:41:33,branch
BCH000038,ACC003151,BEN71231,BEN31525,2026-09-14 15:40:04,branch
BCH000039,ACC001084,BEN63182,BEN96225,2026-09-14 15:44:51,branch
BCH000040,ACC001545,BEN23641,BEN23535,2026-09-14 15:43:20,branch
BCH000041,ACC004558,BEN87249,BEN45181,2026-09-14 15:43:31,mobile
BCH000042,ACC004535,BEN22709,BEN19493,2026-09-14 15:40:54,branch
BCH000043,ACC003119,BEN69515,BEN49815,2026-09-14 15:45:51,mobile
BCH000044,ACC000422,BEN59892,BEN23294,2026-09-14 15:45:43,mobile
BCH000045,ACC000018,BEN49823,BEN93845,2026-09-14 15:40:58,branch
BCH000046,ACC000896,BEN85748,BEN64963,2026-09-14 15:44:25,branch
BCH000047,ACC004407,BEN44904,BEN23953,2026-09-14 15:40:53,internet
BCH000048,ACC003995,BEN84295,BEN67818,2026-09-14 15:40:33,branch
BCH000049,ACC000795,BEN42520,BEN82498,2026-09-14 15:44:24,mobile
BCH000050,ACC002368,BEN18107,BEN33401,2026-09-14 15:43:08,internet
BCH000051,ACC002742,BEN94912,BEN84812,2026-09-14 15:41:21,internet
BCH000052,ACC001079,BEN17832,BEN28528,2026-09-14 15:43:03,internet
BCH000053,ACC002761,BEN50968,BEN72011,2026-09-14 15:43:32,internet
BCH000054,ACC003679,BEN75701,BEN31048,2026-09-14 15:43:40,internet
BCH000055,ACC003078,BEN51824,BEN29512,2026-09-14 15:45:10,internet
BCH000056,ACC000657,BEN35642,BEN77949,2026-09-14 15:44:01,internet
BCH000057,ACC003676,BEN33519,BEN60358,2026-09-14 15:41:39,internet
BCH000058,ACC001176,BEN45031,BEN77541,2026-09-14 15:45:36,mobile
BCH000059,ACC004708,BEN48104,BEN49050,2026-09-14 15:42:26,internet
BCH000060,ACC003967,BEN23374,BEN46690,2026-09-14 15:40:45,branch
BCH000061,ACC004230,BEN53160,BEN76804,2026-09-14 15:44:22,mobile
BCH000062,ACC004209,BEN47914,BEN89729,2026-09-14 15:43:27,mobile
