account_id,timestamp,geo_city,geo_country,distance_from_home_flag
ACC004524,2026-09-14 01:40:03,New Amberland,KP,0
ACC002940,2026-09-14 01:40:11,Port Katherineview,NA,0
ACC004724,2026-09-14 01:40:19,Lake Travis,LT,0
ACC000589,2026-09-14 01:40:33,South Lisamouth,PA,0
ACC000964,2026-09-14 01:40:37,East Lesliestad,HT,1
ACC004439,2026-09-14 01:40:44,Anthonyfort,SY,0
ACC002413,2026-09-14 01:40:50,Angelshire,MU,0
ACC003543,2026-09-14 01:40:55,Maryland,MD,0
ACC000240,2026-09-14 01:40:59,New Davidburgh,BH,0
ACC004628,2026-09-14 01:41:18,Port Edwin,EC,1
ACC003580,2026-09-14 01:41:20,South Ryan,SB,0
ACC000240,2026-09-14 01:41:22,Lisaport,QA,0
ACC002131,2026-09-14 01:41:24,Valentinetown,BW,0
ACC002570,2026-09-14 01:41:32,Maymouth,EG,0
ACC001001,2026-09-14 01:42:04,West Adrienne,PH,0
ACC000079,2026-09-14 01:42:18,East Sandrabury,BJ,0
ACC001073,2026-09-14 01:42:29,Allenberg,AU,1
ACC001335,2026-09-14 01:42:30,West Laura,MG,1
ACC002215,2026-09-14 01:42:32,Mckinneymouth,TH,0
ACC000373,2026-09-14 01:42:37,Whitestad,BG,0
ACC000065,2026-09-14 01:42:50,New Joyland,AM,0
ACC003601,2026-09-14 01:43:06,Cynthiahaven,BA,0
ACC000079,2026-09-14 01:43:24,North Rodney,LK,0
ACC003698,2026-09-14 01:43:32,New David,CA,0
ACC000642,2026-09-14 01:43:35,Mayborough,ER,0
ACC000486,2026-09-14 01:43:37,New Karen,BI,0
ACC004749,2026-09-14 01:43:38,Dillonbury,SR,0
ACC001744,2026-09-14 01:43:38,West Heather,HR,0
ACC003181,2026-09-14 01:43:52,Robinsonport,PT,0
ACC004842,2026-09-14 01:43:52,Davisburgh,GW,0
ACC002138,2026-09-14 01:44:03,West Amandastad,LI,0
ACC000838,2026-09-14 01:44:05,Benjaminchester,CD,0
ACC000497,2026-09-14 01:44:08,Port Stuartfurt,NP,0
ACC002323,2026-09-14 01:44:20,Barrton,BD,0
ACC004740,2026-09-14 01:44:21,Wilsonmouth,SG,0
ACC000497,2026-09-14 01:44:39,East Brenda,AE,0
ACC002377,2026-09-14 01:44:43,South Michele,SN,0
ACC003968,2026-09-14 01:44:50,Lake Christopher,LC,0
ACC002659,2026-09-14 01:44:54,Lake Gregory,VN,0
ACC000079,2026-09-14 01:45:00,East Raymondview,BD,0
ACC004153,2026-09-14 01:45:03,Jessicaton,ML,0
ACC003849,2026-09-14 01:45:09,North Douglasmouth,OM,0
ACC004724,2026-09-14 01:45:13,Gabrielhaven,KP,1
ACC004121,2026-09-14 01:45:19,West Lindamouth,IL,0
ACC003107,2026-09-14 01:45:25,West Brittanychester,KG,0
ACC004395,2026-09-14 01:45:32,Nicholasfort,CH,0
ACC003351,2026-09-14 01:45:35,East Ravenview,SG,0
ACC004767,2026-09-14 01:45:43,Cherylberg,KZ,1
ACC001615,2026-09-14 02:40:36,South Melissachester,SZ,0
ACC000296,2026-09-14 02:40:38,Wellsburgh,LB,0
ACC001413,2026-09-14 02:40:49,Starkborough,PT,0
ACC001073,2026-09-14 02:41:01,Bookertown,ID,0
ACC001144,2026-09-14 02:41:04,Yatesville,NL,1
